Date,Code,Open,Close,Volume
2018-10-18,FB,158.51,154.92,21675100
2018-10-18,GOOGL,1130.0,1097.91,2307600
2018-10-18,NFLX,360.67,346.71,18461000
2018-10-19,FB,155.86,154.05,19761300
2018-10-19,GOOGL,1103.71,1105.18,2064300
2018-10-19,NFLX,351.0,332.67,16717200
2018-10-22,FB,154.76,154.78,15424700
2018-10-22,GOOGL,1112.51,1111.37,1355800
2018-10-22,NFLX,333.1,329.54,17097200
2018-10-23,FB,151.22,154.39,19095000
2018-10-23,GOOGL,1091.29,1114.91,1884300
2018-10-23,NFLX,318.0,333.16,14907300
2018-10-24,FB,154.28,146.04,27744600
2018-10-24,GOOGL,1115.0,1057.12,2464300
2018-10-24,NFLX,332.28,301.83,19039300
2018-10-25,FB,147.73,150.95,22105700
2018-10-25,GOOGL,1080.3,1103.59,3647800
2018-10-25,NFLX,307.12,312.87,13346900
2018-10-26,FB,145.82,145.37,31303300
2018-10-26,GOOGL,1048.33,1083.75,5321900
2018-10-26,NFLX,300.51,299.83,19616000
2018-10-29,FB,148.5,142.09,31336800
2018-10-29,GOOGL,1096.54,1034.73,4064500
2018-10-29,NFLX,305.26,284.84,21698800
2018-10-30,FB,139.94,146.22,50528300
2018-10-30,GOOGL,1020.01,1049.51,2988400
2018-10-30,NFLX,275.57,285.81,23685700
2018-10-31,FB,155.0,151.79,60101300
2018-10-31,GOOGL,1068.2,1090.58,3545800
2018-10-31,NFLX,297.77,301.78,20360300
2018-11-01,FB,151.52,151.75,25640800
2018-11-01,GOOGL,1091.4,1085.98,2006600
2018-11-01,NFLX,304.59,317.38,15121500
2018-11-02,FB,151.8,150.35,24708700
2018-11-02,GOOGL,1089.0,1071.49,2171900
2018-11-02,NFLX,318.0,309.1,13404600
2018-11-05,FB,150.1,148.68,15971200
2018-11-05,GOOGL,1072.53,1055.73,2267900
2018-11-05,NFLX,311.1,315.44,10283000
2018-11-06,FB,149.31,149.94,16667100
2018-11-06,GOOGL,1055.02,1069.57,1433000
2018-11-06,NFLX,314.76,310.84,9710400
2018-11-07,FB,151.57,151.53,21877400
2018-11-07,GOOGL,1083.49,1108.24,2169400
2018-11-07,NFLX,312.9,327.5,13328300
2018-11-08,FB,150.49,147.87,24145800
2018-11-08,GOOGL,1107.3,1094.63,1684700
2018-11-08,NFLX,328.0,317.92,11023900
2018-11-09,FB,146.75,144.96,17326900
2018-11-09,GOOGL,1084.02,1077.02,1743000
2018-11-09,NFLX,311.07,303.47,13480800
2018-11-12,FB,144.48,141.55,18542100
2018-11-12,GOOGL,1073.13,1049.36,1700100
2018-11-12,NFLX,300.0,294.07,10924800
2018-11-13,FB,142.0,142.16,15141700
2018-11-13,GOOGL,1054.81,1047.97,1287500
